RECORDING_SESSION_LABEL,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DIRECTION,CURRENT_SAC_DURATION,CURRENT_SAC_ANGLE,CURRENT_SAC_END_TIME,CURRENT_SAC_END_X,CURRENT_SAC_END_Y,CURRENT_SAC_INDEX,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_START_TIME,CURRENT_SAC_START_X,CURRENT_SAC_START_Y,EYE_USED,PREVIOUS_FIX_BLINK_AROUND,block_number,block_trial_number,emcount,fix_to_stim,high_location,looked_distractor,low_location,not_fixated,points_received,ques_trial,response_key,response_time,sac_latency,target_correct,target_position,too_late,total_points,trial_number
SRC01TR,0.96,43.76,FALSE,LEFT,22,-155.42,1247,597.3,697.3,2,90.46,1226,640.2,677.6,RIGHT,NONE,0,42,1,550,north_west,0,south_east,0,0,0,0,260,216,1,south_west,0,0,42
SRC01TR,4.54,122.8,FALSE,RIGHT,37,-30.63,499,1046.3,653.9,1,230.64,463,855.9,540.7,RIGHT,NONE,0,43,1,785,north_west,0,south_east,1,0,0,0,64,27,0,north_west,1,0,43
SRC01TR,2.88,99.37,FALSE,LEFT,29,160.52,733,892.4,595.4,2,157.83,705,1024.7,642.4,RIGHT,NONE,0,43,1,785,north_west,0,south_east,1,0,0,0,64,27,0,north_west,1,0,43
SRC01TR,5.41,142.3,FALSE,LEFT,38,-162.38,984,628.1,686.9,3,260.87,947,879.6,606.7,RIGHT,NONE,0,43,1,785,north_west,0,south_east,1,0,0,0,64,27,0,north_west,1,0,43
SRC01TR,7.31,126.01,FALSE,UP,58,86.54,1238,654,329.6,4,267.46,1181,632.5,686.7,RIGHT,NONE,0,43,1,785,north_west,0,south_east,1,0,0,0,64,27,0,north_west,1,0,43
SRC01TR,0.57,52.02,FALSE,UP,11,80.71,1488,656,311.9,5,51.48,1478,651.5,339.4,RIGHT,NONE,0,43,1,785,north_west,0,south_east,1,0,0,0,64,27,0,north_west,1,0,43
SRC01TR,1.62,73.84,FALSE,LEFT,22,142.37,335,782,482.6,1,92.86,314,844.4,530.8,RIGHT,NONE,0,44,2,325,north_west,0,south_east,0,0,0,0,260,219,0,north_east,1,0,44
SRC01TR,1.58,75.41,FALSE,UP,21,81.3,509,777.9,405.5,2,103.19,489,766.3,481.5,RIGHT,NONE,0,44,2,325,north_west,0,south_east,0,0,0,0,260,219,0,north_east,1,0,44
SRC01TR,4.59,109.38,FALSE,RIGHT,42,18.18,718,976,331.4,3,180.91,677,764.1,401,RIGHT,NONE,0,44,2,325,north_west,0,south_east,0,0,0,0,260,219,0,north_east,1,0,44
SRC01TR,2.95,84.27,FALSE,RIGHT,35,18.72,822,1089.7,301.1,4,267.26,788,953.8,347.2,RIGHT,NONE,0,44,2,325,north_west,0,south_east,0,0,0,0,260,219,0,north_east,1,0,44
SRC01TR,0.87,61.95,FALSE,LEFT,14,-168.96,1111,1050.4,334.7,5,69.22,1098,1091.9,326.6,RIGHT,NONE,0,44,2,325,north_west,0,south_east,0,0,0,0,260,219,0,north_east,1,0,44
SRC01TR,5.52,128.32,FALSE,UP,43,134.15,925,652.7,328.3,1,219.67,883,839.5,520.9,RIGHT,NONE,0,45,1,513,north_west,0,south_east,0,0,0,0,276,234,1,north_west,0,0,45
