Subject,RT,condition,template_duration
9,0.53,-1,0.376
9,0.703,-1,0.721
9,0.514,-1,0.2
9,0.5,-1,0.77
9,0.455,-1,0.44
9,0.573,-1,0.43
10,0.677,1,0.698
10,0.546,1,0.56
10,0.491,1,0.78
10,0.677,1,0.513
10,0.611,1,0.711
10,0.474,1,0.261
10,0.555,1,0.603
10,0.557,1,0.364
10,0.564,1,0.649
10,0.605,1,0.778
10,0.64,1,0.307
10,0.51,1,0.261
10,0.555,1,0.384
10,0.525,1,0.55
10,0.505,1,0.631
10,0.448,1,0.59
10,0.537,1,0.39
10,0.465,1,0.297
10,0.619,1,0.323
10,0.609,1,0.622
10,0.609,1,0.307
10,0.598,1,0.632
10,0.586,1,0.742
10,0.508,1,0.757
10,0.521,1,0.711
10,0.667,1,0.214
10,0.563,1,0.659
10,0.588,1,0.309
10,0.558,-1,0.477
10,0.64,-1,0.299
10,0.561,-1,0.273
10,0.581,-1,0.578
10,0.626,-1,0.444
10,0.652,-1,0.726
10,0.596,-1,0.22
10,0.52,-1,0.2
10,0.616,-1,0.38
10,0.703,-1,0.718
10,0.621,-1,0.283
10,0.533,-1,0.317
10,0.567,-1,0.485
10,0.524,-1,0.522
10,0.527,-1,0.295
10,0.536,-1,0.261
10,0.539,-1,0.728
10,0.582,-1,0.629
10,0.599,-1,0.672
10,0.595,-1,0.324
10,0.567,-1,0.432
10,0.605,-1,0.791
10,0.523,-1,0.374
10,0.62,-1,0.761
10,0.568,-1,0.474
10,0.636,-1,0.352
10,0.708,-1,0.487
11,0.671,1,0.535
11,0.626,1,0.735
11,0.585,1,0.485
11,0.725,1,0.262
11,0.522,1,0.5
11,0.498,1,0.427
11,0.525,1,0.632
11,0.507,1,0.775
11,0.447,1,0.534
11,0.504,1,0.41
11,0.539,1,0.263
11,0.613,1,0.342
11,0.537,1,0.606
11,0.528,1,0.712
11,0.544,1,0.432
11,0.488,1,0.432
11,0.448,1,0.62
11,0.517,1,0.511
11,0.466,1,0.525
11,0.488,1,0.76
11,0.598,1,0.304
11,0.574,1,0.79
11,0.628,1,0.379
11,0.536,1,0.227
11,0.483,1,0.397
11,0.591,1,0.225
11,0.466,1,0.348
11,0.489,1,0.617
11,0.532,1,0.329
11,0.492,1,0.662
11,0.654,-1,0.326
11,0.641,-1,0.223
11,0.615,-1,0.646
11,0.698,-1,0.336
11,0.504,-1,0.58
11,0.589,-1,0.387
11,0.527,-1,0.574
11,0.603,-1,0.352
11,0.574,-1,0.221
11,0.45,-1,0.759
11,0.558,-1,0.241
11,0.529,-1,0.727
11,0.506,-1,0.685
